Title,company,location,job_type,Experience_level,Experience_year,categories,department,Number_of_skills
Pricing Product Manager,Reload Logistics,Dubai,Full Time,Entry Level,Unknown,IT/Software Development,Project/Program Management,7
Sales Manager (Fintech),Qureos,Dubai,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Senior Process Engineer,Penspen,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
"Engineer, Process Automation (Process Engineering Team - Asab)",ADNOC Group,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
B&F Support Expert - Akira Back,Marriott International,Dubai,Full Time,Entry Level,Unknown,Business Development,Sales/Retail,7
B&F Service Expert - In Room Dining,Marriott International,Dubai,Full Time,Entry Level,Unknown,Business Development,Sales/Retail,7
API Banking - Agile Business Lead Product Manager / Product Owner,Dicetek LLC,Dubai,Freelance / Project,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
"Specialist, Product",Baxter Company Limited ( BCL ),Riyadh,Full Time,Experienced,Unknown,Medical/Healthcare,Pharmaceutical,7
B&F Supervisor - Sobe,Marriott International,Dubai,Freelance / Project,Experienced,Unknown,Business Development,Sales/Retail,7
Enterprise Account Executive - France,Camunda,Riyadh,Full Time,Experienced,Unknown,Customer Service/Support,Sales/Retail,7
Enterprise Account Executive -  Spain,Camunda,Riyadh,Full Time,Experienced,Unknown,Customer Service/Support,Sales/Retail,7
Quality Assurance and Quality Control Manager,FEMCO  Faisal Electro-Mechanical Co. Ltd.,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Senior Manager - Commercial (DEL- 507),Qiddiya | القدية,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Sales/Retail,7
Senior Instrument Engineer,Penspen,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Knowledge Analyst - Oil & Gas,McKinsey & Company,Riyadh,Full Time,Not specified,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Engineer - Structural,AECOM,Dubai,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Senior Engineer - DevSecOps,Core42,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
"Guest Room Attendant, Four Seasons Hotel Riyadh","Four Seasons Hotels & Resorts, Saudi Arabia",Riyadh,Full Time,Not specified,Unknown,Business Development,Operations/Management,6
Senior Engineer - Structures,AECOM,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Senior Engineer - Structural,AECOM,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Engineer - PLC,Asmacs Qatar,Dubai,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Senior Planning Engineer,Wood,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Senior Lead - Training Programs Operations and Partnerships (COR 540),Qiddiya | القدية,Riyadh,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Strategic Planning & Governance Manager – Saudi National,Mace,Riyadh,Full Time,Not specified,Unknown,Business Development,Marketing/PR/Advertising,7
Civil Project Manager,Asmacs Qatar,Riyadh,Full Time,Entry Level,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Application Designer - EMEA,Trojan Technologies,Dubai,Full Time,Entry Level,Unknown,Creative/Design/Art,Engineering - Telecom/Technology,7
Senior Project Manager - Roads & Infrastructure (20003817),Qiddiya | القدية,Riyadh,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Project/Program Management,7
Guest Experience Agent (Seasonal Opportunity),One&Only Resorts,Dubai,Full Time,Entry Level,Unknown,Administration,Hospitality/Hotels/Food Services,7
Senior QA Engineer (Full-Stack: Backend & Mobile),Tabby,Dubai,Full Time,Experienced,Unknown,IT/Software Development,Engineering - Mechanical/Electrical,7
Property Acquisitions Associate,Stake,Dubai,Full Time,Entry Level,Unknown,Legal,Sales/Retail,7
Junior Legal Executive,Bayut KSA,Riyadh,Full Time,Entry Level,Unknown,Business Development,Sales/Retail,7
"Attendant, Food and Beverage, Nobu (Spanish / Italian speaker)",Atlantis Resorts,Dubai,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
Sales Specialist - Oil & Gas,Aggreko,Riyadh,Freelance / Project,Entry Level,Unknown,Business Development,Sales/Retail,7
Testing & Commissioning Engineer,KEO International Consultants,Riyadh,Full Time,Entry Level,Unknown,IT/Software Development,Engineering - Telecom/Technology,7
Sales Associate,Montblanc,Riyadh,Full Time,Entry Level,Unknown,Business Development,Sales/Retail,7
Chief Financial Officer (CFO),NEXT Ventures,Dubai,Full Time,Not specified,Unknown,Accounting/Finance,C-Level Executive/GM/Director,7
Lead Design Engineer,Yokogawa,Riyadh,Full Time,Experienced,Unknown,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,7
"Vice President, GCC Head of Value-Added Services",Visa,Dubai,Full Time,Senior Management,Unknown,Business Development,Marketing/PR/Advertising,5
Principal Process Engineer,Worley,Riyadh,Full Time,Not specified,Unknown,Manufacturing/Production,Engineering - Mechanical/Electrical,7
Treasury Analyst,"McDermott International, Ltd",Dubai,Full Time,Experienced,Unknown,Accounting/Finance,Analyst/Research,7
Sales Manager-Multi,Marriott International,Dubai,Full Time,Entry Level,Unknown,Customer Service/Support,Sales/Retail,7
