Title,company,location,job_type,work_mode,Experience_level,Experience_year,categories,department,skills
Director Business AI,du,"Dubai, United Arab Emirates",Full Time,,Manager,Business Development,Business Development,Sales/Retail,"['Business Development', 'Management', 'Marketing', 'Retail Management', 'Sales', 'Branding', 'Business Analysis']"
Repairs Officer - Component and Powerplant,Emirates,"Dubai, United Arab Emirates",Full Time,,Entry Level,Installation/Maintenance/Repair,Installation/Maintenance/Repair,Engineering - Telecom/Technology,"['administration', 'microsoft office', 'computer science', 'information technology (it)', 'management', 'logistics', 'maintenance']"
Regional Finance Manager - KSA Regional HQ,Fortinet,"Riyadh, Saudi Arabia",Full Time,,Experienced,Accounting/Finance,Accounting/Finance,Sales/Retail,"['Finance', 'Accounting', 'Financial Management', 'Financial Analysis', 'Sales', 'Sales Skills', 'Microsoft Office']"
Customer Success Manager,Cyviz,"Dubai, United Arab Emirates",Full Time,,Experienced,Customer Service/Support,Customer Service/Support,Sales/Retail,"['Customer Service', 'Customer Care', 'Customer Support', 'Management', 'Sales', 'Call Center', 'Sales Skills']"
"Customer Service and Administration Manager, Middle East and Africa",KONE,"Dubai, United Arab Emirates",Full Time,,Experienced,Customer Service/Support,Customer Service/Support,Sales/Retail,"['sales', 'sales skills', 'customer service', 'information technology (it)', 'management', 'english', 'finance']"
Senior Product Manager - Treasury Systems,Soar,"Dubai, United Arab Emirates",Full Time,,Experienced,IT/Software Development,IT/Software Development,Sales/Retail,"['Sales', 'Marketing', 'Information Technology (IT)', 'Sales Skills', 'Project Management', 'Product Management', 'Computer Science']"
Head of Parent Experience and Engagement,American University of Kuwait (AUK),"Dubai, United Arab Emirates",Full Time,,Entry Level,IT/Software Development,IT/Software Development,Education/Teaching,"['education', 'teaching', 'information technology (it)', 'marketing', 'communication skills', 'design', 'communication']"
Head of Sales for a New Project,Oddin.gg,"Dubai, United Arab Emirates",Full Time,,Experienced,Business Development,Business Development,Sales/Retail,"['sales', 'sales skills', 'sales target', 'customer service', 'marketing', 'english', 'communication skills']"
Shift Supervisor,Emarat - Emirates General Petroleum Corporation,"Dubai, United Arab Emirates",Full Time,,Experienced,Customer Service/Support,Customer Service/Support,Operations/Management,"['Customer Care', 'Customer Service', 'Customer Support', 'Sales', 'Engineering', 'Entertainment', 'Food']"
SCMS Engineer – 400kV Substation (Saudi National),VINCI Energies,"Riyadh, Saudi Arabia",Full Time,,Entry Level,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,"['electrical engineering', 'electrical power', 'engineering', 'mechanical engineering', 'design', 'iec']"
Director - Human Capital Business Partnering (Space42),Space42,"Dubai, United Arab Emirates",Full Time,,Manager,Operations/Management,Operations/Management,Sales/Retail,"['Management', 'Marketing', 'Sales', 'Sales Skills', 'Operations', 'Microsoft Office', 'Design']"
Sr. Architect – Interior Design,AtkinsRéalis,"Riyadh, Saudi Arabia",Full Time,,Experienced,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Project/Program Management,"['Architecture', 'AutoCAD', 'Interior Design', 'Design', 'Adobe Photoshop', 'Engineering', '3D Max']"
"Technical Project Manager, Ignition Systems",Lucid Motors Middle East,"Makkah, Saudi Arabia",Full Time,,Experienced,IT/Software Development,IT/Software Development,Engineering - Telecom/Technology,"['Project Management', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Software Development', 'Software Engineering', 'PMP']"
Project Surveyor,Saipem,"Dhahran, Saudi Arabia",Full Time,,Experienced,Engineering - Construction/Civil/Architecture,Engineering - Construction/Civil/Architecture,Engineering - Other,"['Engineering', 'AutoCAD', 'Civil Engineering', 'Project Management', 'Quantity Surveyor', 'Architecture', 'Construction']"
Engineer - Ground Station (Space42),Space42,"Dubai, United Arab Emirates",Full Time,,Entry Level,IT/Software Development,IT/Software Development,Engineering - Mechanical/Electrical,"['Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Development', 'Software Engineering', 'Computer Engineering', 'Mechanical Engineering']"
